# Golden cases. Pins generator output so that ANY divergence is caught --
# including a divergence between JS runtimes, which the source-parity test
# structurally cannot see because it runs both copies in one process.
# Verified identical in Node and in a real browser on live gameshelf.co.
# seed|crimeP|crimeT|culprit|claim|alibis|breakers
13|4|3|4|01330|031|021
7932|2|2|3|43114|143|201
15851|0|3|0|24223|234|241
23770|2|1|0|00334|034|134
31689|1|2|4|30040|034|203
39608|0|2|3|22441|412|240
47527|4|1|3|23123|231|012
55446|2|2|4|40430|034|132
63365|1|1|2|03344|340|130
71284|4|1|1|22321|213|042
79203|2|1|2|34403|430|143
87122|1|1|1|43234|324|324
95041|4|3|2|01130|103|103
102960|2|3|4|04333|304|201
110879|2|1|2|14133|143|014
118798|0|2|1|11134|134|034
126717|3|3|2|04202|204|431
134636|3|3|2|02424|420|410
142555|0|2|4|43314|413|032
150474|1|3|1|24243|423|304
158393|2|2|2|14404|401|430
166312|3|3|0|01020|012|413
174231|0|2|4|42141|142|201
182150|0|2|3|12441|421|210
190069|4|3|0|01303|013|312
197988|0|1|4|41134|431|031
205907|4|2|2|21210|201|041
213826|4|3|1|13332|321|340
221745|0|1|1|43234|324|324
229664|2|3|2|41434|413|013
237583|1|1|3|00322|230|421
245502|1|2|3|20300|032|120
253421|4|2|1|12021|201|324
261340|1|1|0|42040|420|314
269259|0|1|2|11134|143|043
277178|4|2|3|10103|031|142
285097|4|2|0|01201|021|321
293016|3|3|0|41124|421|431
300935|2|3|1|33044|304|023
308854|1|1|1|24024|420|402
316773|1|1|3|20003|032|240
324692|2|3|4|41433|314|312
332611|1|2|3|03430|340|124
340530|1|2|0|44330|403|143
348449|3|3|4|22412|214|032
356368|3|3|1|02244|204|203
364287|2|1|2|03031|013|041
372206|2|1|2|04334|304|301
380125|0|2|2|32212|231|103
388044|2|2|4|13341|134|023
395963|2|3|0|41433|413|214
403882|1|3|4|40303|304|210
411801|0|3|3|34234|342|012
419720|0|3|0|41244|421|421
427639|2|2|3|13334|314|104
435558|1|1|0|44202|420|143
443477|2|2|0|13011|130|412
451396|0|2|2|44232|234|430
459315|4|2|1|32312|213|432
467234|1|3|1|03343|340|230
475153|0|3|1|32221|231|204
483072|2|2|4|30011|103|320
490991|3|3|1|22241|241|234
498910|2|1|2|43404|403|031
506829|2|1|4|40140|014|123
514748|2|3|0|44043|430|142
522667|0|3|1|43134|341|342
530586|4|1|4|21232|213|213
538505|2|3|3|43340|403|042
546424|1|1|2|23442|432|310
554343|2|1|4|44131|143|213
562262|4|3|0|20230|203|243
570181|4|2|3|11002|012|204
578100|2|3|1|31310|130|324
586019|3|3|1|44022|402|024
593938|2|3|1|40100|014|420
601857|3|3|1|12214|214|234
609776|3|1|0|22011|201|124
617695|2|3|4|30103|301|032
625614|4|2|0|21232|231|431
633533|2|1|0|44134|413|123
641452|3|1|2|41104|140|143
649371|0|2|4|24323|324|231
657290|4|3|2|31123|123|134
665209|4|1|2|32230|230|134
673128|0|2|1|32442|243|430
681047|4|1|1|30031|013|240
688966|0|2|1|13323|312|403
696885|2|2|4|04114|401|102
704804|3|2|2|02024|024|014
712723|1|2|3|32032|302|024
720642|1|1|2|04030|043|013
728561|0|3|1|32132|231|402
736480|4|2|0|02303|023|312
744399|4|1|1|00102|012|024
752318|0|3|3|21332|312|210
760237|2|1|4|40300|034|320
768156|2|1|1|44030|403|023
776075|1|1|0|30302|320|241
783994|3|3|2|11004|014|304
791913|2|1|1|44314|431|023
799832|4|3|0|02010|021|413
807751|0|1|2|32224|243|140
815670|0|2|0|42344|432|321
823589|4|1|1|23133|312|420
831508|1|3|3|40003|043|104
839427|2|3|4|01330|031|021
847346|3|2|2|12001|012|301
855265|3|1|0|21422|214|412
863184|2|2|0|40410|401|243
871103|0|3|2|14331|314|301
879022|4|2|2|11223|231|340
886941|1|1|1|00232|023|043
894860|0|1|0|34431|341|324
902779|4|3|1|33010|310|032
910698|0|1|1|32324|243|340
918617|2|3|1|11134|143|243
926536|2|1|0|43404|430|213
934455|2|2|0|30131|310|341
942374|1|2|4|20320|023|102
